id_flujo,minuto,src_ip,dst_ip,puerto,protocolo,bytes,packets,duration_ms,latency_ms,jitter_ms,packet_loss_pct,retransmissions,queue_depth,etiqueta
1,0,10.0.1.13,52.84.0.10,3306,TCP,28232,66,514,16,3,0,0,19,normal
2,0,10.0.2.38,8.8.4.4,8080,TCP,16196,74,330,11,2,0.01,0,3,normal
3,0,10.0.3.27,1.1.1.1,8443,TCP,12436,52,347,13,1,0.17,0,7,normal
4,0,10.0.3.14,1.0.0.1,80,TCP,19164,66,10,26,1,0.14,1,11,normal
5,0,10.0.2.13,151.101.1.140,993,TCP,25591,81,599,18,4,0.62,2,2,normal
6,0,10.0.3.18,52.84.0.10,5432,TCP,31686,62,454,20,3,0.46,0,8,normal
7,0,10.0.3.43,52.84.0.10,5432,TCP,25920,60,144,17,5,0.31,1,8,normal
8,0,10.0.3.42,104.16.0.1,3306,TCP,26722,64,487,25,2,0.37,1,9,normal
9,0,10.0.1.36,216.58.0.1,587,TCP,20883,56,630,15,1,0.45,2,12,normal
10,0,10.0.2.24,172.217.0.1,5432,TCP,32146,73,395,26,3,0.69,0,17,normal
11,0,10.0.1.41,1.0.0.1,25,TCP,23616,64,392,19,1,0.26,0,13,normal
12,0,10.0.2.24,172.217.0.1,3306,TCP,15049,51,399,25,3,0.35,1,15,normal
13,1,10.0.3.20,216.58.0.1,443,TCP,27830,62,455,20,2,0.29,0,10,normal
14,1,10.0.3.42,172.217.0.1,22,TCP,28242,58,304,20,4,0,1,14,normal
15,1,10.0.1.33,151.101.1.140,993,TCP,9192,67,544,24,4,0.23,0,4,normal
16,1,10.0.1.11,13.32.0.1,443,TCP,17591,46,470,23,2,0.3,0,11,normal
17,1,10.0.1.21,1.0.0.1,80,TCP,29673,75,377,24,5,0.37,1,9,normal
18,1,10.0.1.17,104.16.0.1,8443,TCP,34965,67,115,19,6,0.73,1,11,normal
19,1,10.0.3.16,216.58.0.1,80,TCP,28667,59,260,22,4,0.18,1,15,normal
20,1,10.0.1.46,104.16.0.2,8080,TCP,20777,37,386,12,2,0.31,1,11,normal
21,1,10.0.2.36,104.16.0.1,3306,TCP,30002,56,331,16,1,0.48,0,14,normal
22,1,10.0.2.17,151.101.1.140,22,TCP,33344,83,302,13,6,0.28,2,10,normal
23,1,10.0.3.13,104.16.0.1,5432,TCP,16105,66,412,22,2,0.53,1,13,normal
24,1,10.0.1.31,151.101.1.140,8443,TCP,14280,56,619,17,4,0,0,5,normal
25,1,10.0.1.18,216.58.0.1,3306,TCP,30300,48,495,17,3,0.27,2,13,normal
26,1,10.0.2.43,13.32.0.1,3306,TCP,25441,77,305,21,2,0.14,0,15,normal
27,2,10.0.3.11,151.101.1.140,53,UDP,27058,68,460,18,1,0.67,2,8,normal
28,2,10.0.2.42,151.101.1.140,3306,TCP,9583,36,476,18,5,0.36,0,7,normal
29,2,10.0.1.13,216.58.0.1,22,TCP,10451,64,450,28,1,0.25,2,0,normal
30,2,10.0.3.32,1.1.1.1,53,UDP,22442,62,331,19,2,0.63,0,15,normal
31,2,10.0.3.22,216.58.0.1,5432,TCP,23277,65,470,30,2,0.09,0,17,normal
32,2,10.0.3.39,151.101.1.140,5432,TCP,19800,48,346,21,3,0.05,0,14,normal
33,2,10.0.1.30,8.8.4.4,25,TCP,14081,57,372,16,4,0.46,0,14,normal
34,2,10.0.3.36,104.16.0.1,80,TCP,20850,52,316,22,5,0.59,0,16,normal
35,2,10.0.2.12,8.8.8.8,8443,TCP,38376,90,561,25,8,0.29,1,2,normal
36,2,10.0.2.25,172.217.0.1,587,TCP,30250,67,344,22,3,0.51,1,1,normal
37,2,10.0.3.17,1.0.0.1,22,TCP,11938,53,252,10,2,0.63,0,13,normal
38,2,10.0.1.49,216.58.0.1,8443,TCP,37199,47,416,19,5,0,2,5,normal
39,3,10.0.3.26,1.0.0.1,25,TCP,28580,50,373,14,4,0.51,0,6,normal
40,3,10.0.3.32,52.84.0.10,53,UDP,15168,64,403,18,5,0.47,0,8,normal
41,3,10.0.1.24,172.217.0.1,5432,TCP,33601,54,345,24,1,0,0,1,normal
42,3,10.0.2.45,172.217.0.1,993,TCP,23389,54,132,24,4,0.44,0,14,normal
43,3,10.0.3.13,8.8.4.4,22,TCP,27396,38,357,7,4,0.34,1,12,normal
44,3,10.0.3.26,13.32.0.1,587,TCP,15442,44,123,19,1,0.17,0,4,normal
45,3,10.0.3.26,104.16.0.2,25,TCP,37121,30,176,24,1,0.22,1,13,normal
46,3,10.0.1.36,104.16.0.2,80,TCP,14594,76,372,19,5,0.12,0,11,normal
47,3,10.0.1.49,1.0.0.1,5432,TCP,26702,52,680,24,1,0.08,0,12,normal
48,3,10.0.1.49,8.8.4.4,53,UDP,8938,43,117,14,1,0.64,1,16,normal
49,3,10.0.1.41,8.8.4.4,5432,TCP,22922,48,262,11,4,0.05,2,11,normal
50,3,10.0.2.32,8.8.8.8,993,TCP,16020,74,407,12,6,0,2,9,normal
51,3,10.0.1.34,104.16.0.2,3306,TCP,19151,60,342,19,4,0,1,13,normal
52,3,10.0.2.10,52.84.0.10,587,TCP,29131,64,298,21,4,0.5,0,14,normal
53,3,10.0.3.27,104.16.0.2,587,TCP,21658,96,149,24,1,0.36,3,13,normal
54,4,10.0.2.13,151.101.1.140,25,TCP,30199,77,222,19,4,0.38,0,8,normal
55,4,10.0.3.11,13.32.0.1,53,UDP,27408,62,361,18,6,0.02,3,9,normal
56,4,10.0.3.35,8.8.4.4,443,TCP,41086,55,377,18,3,0.45,2,4,normal
57,4,10.0.1.25,52.84.0.10,587,TCP,37866,82,294,22,7,0.26,2,10,normal
58,4,10.0.1.45,13.32.0.1,443,TCP,30570,61,484,16,2,0.68,1,11,normal
59,4,10.0.2.41,104.16.0.2,443,TCP,49282,39,218,20,6,0.09,1,19,normal
60,4,10.0.3.13,151.101.1.140,8443,TCP,16925,35,170,20,1,0.42,0,8,normal
61,4,10.0.3.36,1.0.0.1,443,TCP,14414,56,458,17,6,0.34,1,13,normal
62,4,10.0.1.19,1.1.1.1,8443,TCP,28067,76,352,16,3,0.34,2,8,normal
63,4,10.0.2.40,52.84.0.10,8080,TCP,35082,32,686,15,3,0.14,1,10,normal
64,4,10.0.3.18,13.32.0.1,22,TCP,16073,49,239,20,3,0.35,2,7,normal
65,4,10.0.2.42,172.217.0.1,25,TCP,6477,95,462,26,5,0.19,0,13,normal
66,5,10.0.3.35,8.8.8.8,8443,TCP,19733,44,283,21,1,0.56,0,4,normal
67,5,10.0.2.40,8.8.8.8,25,TCP,21868,58,614,19,3,0.32,1,4,normal
68,5,10.0.1.17,1.1.1.1,443,TCP,28064,41,471,9,1,0.38,0,14,normal
69,5,10.0.1.46,216.58.0.1,8080,TCP,39020,51,224,18,3,0.46,1,9,normal
70,5,10.0.1.44,52.84.0.10,22,TCP,29701,69,451,16,6,0.35,1,2,normal
71,5,10.0.2.44,104.16.0.2,53,UDP,19053,47,443,22,2,0.56,1,6,normal
72,5,10.0.2.35,151.101.1.140,25,TCP,17299,69,219,20,4,0.4,0,5,normal
73,5,10.0.2.34,52.84.0.10,25,TCP,21944,60,473,21,3,0.44,3,16,normal
74,5,10.0.2.45,8.8.8.8,3306,TCP,37167,60,345,21,4,0.07,0,0,normal
75,6,10.0.3.17,151.101.1.140,5432,TCP,25935,85,346,17,4,0.03,0,2,normal
76,6,10.0.3.22,1.1.1.1,80,TCP,35565,42,443,23,5,0.48,0,7,normal
77,6,10.0.1.15,104.16.0.1,80,TCP,29528,64,254,18,4,0.05,0,10,normal
78,6,10.0.2.43,104.16.0.2,22,TCP,18649,63,556,27,4,0.2,0,4,normal
79,6,10.0.1.29,13.32.0.1,5432,TCP,33011,68,336,24,3,0.61,2,18,normal
80,6,10.0.3.45,151.101.1.140,8080,TCP,26360,56,286,15,4,0.06,0,6,normal
81,6,10.0.1.35,104.16.0.2,25,TCP,28040,64,304,16,5,0.21,2,19,normal
82,6,10.0.2.48,104.16.0.2,443,TCP,20551,52,289,22,3,0.15,1,9,normal
83,6,10.0.3.39,216.58.0.1,587,TCP,14415,69,259,16,6,0.32,0,11,normal
84,6,10.0.3.14,13.32.0.1,3306,TCP,10183,71,252,15,4,0.32,0,19,normal
85,6,10.0.2.47,104.16.0.1,22,TCP,21540,62,426,19,7,0.33,0,11,normal
86,6,10.0.1.45,8.8.8.8,993,TCP,27331,39,276,19,3,0.12,0,13,normal
87,7,10.0.3.25,104.16.0.2,587,TCP,27223,67,39,16,1,0.21,1,6,normal
88,7,10.0.3.38,52.84.0.10,993,TCP,15897,80,498,20,1,0.38,0,4,normal
